filename,label
delhi_initial.npy,1
mexico_1777838840325.npy,1
mexico_1777838953145.npy,1
spain_1777838985071.npy,1
paris_1777839038052.npy,1
karapinar_1777839165343.npy,1
lucknow_1777839195710.npy,1
mumbai_1777839237708.npy,1
dwarka_1777839450859.npy,1
dwarka_1777839627365.npy,1
lodhi_garden_1777839659384.npy,1
lodhi_garden_1777839800703.npy,1
shalimar_bagh_1777839851470.npy,1
beijing_1777839890202.npy,1
shimla_1777839937006.npy,1
mandi_1777840121235.npy,1
ambala_1777840126501.npy,1
sanjarpur_1777840184437.npy,1
gurgaon_1777840246962.npy,1
"sector_106,_gurgaon_1777840338858.npy",1
shikarpur_1777840400269.npy,1
delhi_north_1777868519442.npy,1
rajouri_garden_1777868572058.npy,1
